TEFF   4500.  GRAVITY 4.50000 LTE 
TITLE TEST RUN WITH SDSC OPACITY  VTURB 2 KM/S    L/H 1.25                      
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 8.33735562E-03   2471.1 2.636E+02 2.099E+09 2.326E-04 2.204E-02 2.000E+05
 8.34265444E-03   2979.2 2.638E+02 4.964E+09 2.326E-04 1.699E-02 2.000E+05
 1.00337147E-02   3004.8 3.173E+02 6.034E+09 2.772E-04 1.657E-02 2.000E+05
 1.25622467E-02   3041.0 3.972E+02 7.733E+09 3.489E-04 1.612E-02 2.000E+05
 1.52756875E-02   3073.0 4.830E+02 9.607E+09 4.276E-04 1.576E-02 2.000E+05
 1.82532684E-02   3102.4 5.772E+02 1.171E+10 5.149E-04 1.550E-02 2.000E+05
 2.15723424E-02   3130.1 6.821E+02 1.410E+10 6.130E-04 1.532E-02 2.000E+05
 2.53031915E-02   3156.6 8.000E+02 1.683E+10 7.241E-04 1.522E-02 2.000E+05
 2.95232493E-02   3182.7 9.334E+02 1.999E+10 8.524E-04 1.515E-02 2.000E+05
 3.43151808E-02   3207.8 1.085E+03 2.360E+10 9.987E-04 1.510E-02 2.000E+05
 3.97798382E-02   3232.2 1.258E+03 2.777E+10 1.166E-03 1.511E-02 2.000E+05
 4.60302649E-02   3256.3 1.455E+03 3.259E+10 1.358E-03 1.518E-02 2.000E+05
 5.31982956E-02   3280.1 1.682E+03 3.818E+10 1.578E-03 1.532E-02 2.000E+05
 6.14278414E-02   3303.8 1.942E+03 4.465E+10 1.831E-03 1.553E-02 2.000E+05
 7.08858261E-02   3327.7 2.241E+03 5.220E+10 2.126E-03 1.582E-02 2.000E+05
 8.17560809E-02   3351.4 2.585E+03 6.095E+10 2.466E-03 1.615E-02 2.000E+05
 9.42675233E-02   3374.9 2.980E+03 7.109E+10 2.855E-03 1.654E-02 2.000E+05
 1.08685113E-01   3398.4 3.436E+03 8.284E+10 3.305E-03 1.701E-02 2.000E+05
 1.25302284E-01   3421.8 3.962E+03 9.645E+10 3.822E-03 1.756E-02 2.000E+05
 1.44479508E-01   3445.0 4.568E+03 1.122E+11 4.417E-03 1.819E-02 2.000E+05
 1.66619458E-01   3468.2 5.268E+03 1.305E+11 5.100E-03 1.892E-02 2.000E+05
 1.92181367E-01   3491.5 6.076E+03 1.517E+11 5.894E-03 1.980E-02 2.000E+05
 2.21702385E-01   3514.5 7.010E+03 1.761E+11 6.800E-03 2.077E-02 2.000E+05
 2.55866625E-01   3537.0 8.090E+03 2.043E+11 7.832E-03 2.187E-02 2.000E+05
 2.95451545E-01   3559.3 9.342E+03 2.366E+11 9.009E-03 2.312E-02 2.000E+05
 3.41373772E-01   3581.5 1.079E+04 2.741E+11 1.036E-02 2.456E-02 2.000E+05
 3.94658240E-01   3604.0 1.248E+04 3.176E+11 1.191E-02 2.621E-02 2.000E+05
 4.56476571E-01   3626.2 1.443E+04 3.677E+11 1.368E-02 2.810E-02 2.000E+05
 5.28187794E-01   3648.7 1.670E+04 4.258E+11 1.573E-02 3.031E-02 2.000E+05
 6.11363251E-01   3671.5 1.933E+04 4.933E+11 1.808E-02 3.283E-02 2.000E+05
 7.07812978E-01   3694.8 2.238E+04 5.718E+11 2.080E-02 3.572E-02 2.000E+05
